A & M Febcon Ltd.,Miscellaneous,0.95,Company with Zero Promoter Pledge,Low Piotroski Score : Companies with weak financials,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,0.87,0.95,0.85,2.36
A F Enterprises Ltd.,Finance - Investment,5.55,Growth in Net Profit with increasing Profit Margin (QoQ),Inefficient use of shareholder funds - ROE declining in the last 2 years,Turnaround companies- loss to profit QoQ ,No Threat for this stock,5.21,5.70,4.30,23.25
A and M Jumbo Bags Ltd.,Containers & Packaging,NaN,Company with Zero Promoter Pledge,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,,,,None
A G Universal Ltd.,Trading,NaN,Annual Net Profits improving for last 2 years,Companies with High Debt,Highest Recovery from 52 Week Low ,No Threat for this stock,0.00,0.00,32.50,119.95
A K Spintex Ltd.,Textiles & Apparel,138.0,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Stock with Low PE (PE < = 10) ,No Threat for this stock,131.05,138.45,72.25,162.00
A2Z Infra Engineering  Ltd.,Infrastructure,13.81,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,13.55,13.75,5.10,15.15
A B Infrabuild Ltd.,Cement,NaN,Strong Annual EPS Growth,Declining Net Cash Flow : Companies not able to generate net cash,Highest Recovery from 52 Week Low ,No Threat for this stock,0.00,0.00,11.85,59.85
A K S Credits Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
AAA Technologies Ltd.,Software,97.65,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,98.50,100.00,41.85,108.00
A.K.Capital Services Ltd.,Finance - Investment,780.0,Effectively using its capital to generate profit - RoCE improving in last 2 years,Inefficient use of assets to generate profits - ROA declining in the last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,775.05,805.00,399.00,894.80
AA Plus Tradelink Ltd.,,8.0,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,No Opportunity for this stock,No Threat for this stock,8.00,8.00,4.10,20.44
A-1 Acid  Ltd.,Trading,366.0,MACD Crossover Above Signal Line,Degrowth in Revenue and Profit,No Opportunity for this stock,No Threat for this stock,360.10,371.00,294.80,439.95
A P T Yarns Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Aagam Capital Ltd.,Finance - Leasing & Hire Purchase,46.5,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,40.55,46.50,30.45,192.00
Aarnav Fashions Ltd.,Finance - Investment,36.42,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,36.06,37.61,25.25,44.90
Aadi Industries Ltd.,Speciality Chemicals,8.4,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown Third Support (LTP < S3),Highest Recovery from 52 Week Low ,No Threat for this stock,8.40,8.50,3.01,8.90
Acewin Agriteck Ltd.,other agriculture products,2.98,Company with Low Debt,Near 52 Week Low,No Opportunity for this stock,No Threat for this stock,2.90,3.05,2.81,20.18
Ace Tours Worldwide Ltd.,Miscellaneous,2.08,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.08,2.08,1.90,4.04
Automobile Corp of Goa (ACGL) Ltd.,Auto Ancillaries - Bus Body,NaN,Strong Annual EPS Growth,Decline in Quarterly Net Profit (YoY),Highest Recovery from 52 Week Low ,No Threat for this stock,1441.20,1484.00,661.20,1655.00
Abhishek Corporation Ltd.,Textiles & Apparel,0.57,Rising Net Cash Flow and Cash from Operating activity,Book Value Per Share deteriorating for last 2 years,Positive Breakout Third Resistance ( LTP > R3) ,Increasing Trend in Non-Core Income,0.57,0.57,0.49,1.54
Abhishek Finlease Ltd.,Finance - NBFC,29.91,Company with Low Debt,Major fall in TTM Net Profit,Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,No Threat for this stock,29.91,29.91,20.40,33.50
Abhishek Infraventures Ltd.,Finance - Stock Broking,6.65,"Strong Momentum: Price above short, medium and long term moving averages",Declining profits every quarter for the past 2 quarters,Highest Recovery from 52 Week Low ,No Threat for this stock,6.65,6.65,3.35,7.80
Ace Stonecraft Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Acknit Industries Ltd.,Textiles & Apparel,288.0,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,267.10,288.95,133.00,328.00
Aditya Consumer Marketing Ltd.,Food & Drug Retailing,68.0,Strong Annual EPS Growth,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,68.00,68.79,44.50,92.90
Addi Industries Ltd.,Textiles & Apparel,51.76,"Strong Momentum: Price above short, medium and long term moving averages","Rising other income, and low operating income",Highest Recovery from 52 Week Low ,No Threat for this stock,50.04,53.00,25.16,61.86
